logTimestamp,faction,planet,regionName,reason,pointValue,multiplier,source,planetModifier,softCapMultiplier
2026-04-12T19:00:23+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,37,1.3,191073153487,2.8200002,1.0
2026-04-12T19:01:22+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:01:25+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:01:55+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:08:20+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T19:09:30+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T19:10:32+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T19:11:31+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:11:34+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:12:04+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:18:29+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T19:19:39+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T19:20:41+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T19:21:40+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:21:43+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:22:13+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:28:38+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T19:29:48+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T19:30:50+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T19:31:49+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:31:52+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:32:22+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:38:47+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T19:39:57+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T19:40:59+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T19:41:58+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:42:01+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:42:31+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:48:56+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T19:50:06+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T19:51:08+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T19:52:07+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T19:52:10+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T19:52:40+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T19:59:05+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:00:15+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:01:17+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:02:16+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:02:19+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:02:49+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:09:14+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:10:24+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:11:26+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:12:25+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:12:28+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:12:58+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:19:23+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:20:33+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:21:35+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:22:34+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:22:37+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:23:07+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:29:32+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:30:42+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:31:44+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:32:43+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:32:46+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:33:16+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:39:41+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:40:51+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:41:53+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:42:52+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:42:55+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:43:25+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:49:50+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T20:51:00+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T20:52:02+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T20:53:01+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T20:53:04+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T20:53:34+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
2026-04-12T20:59:59+00:00,Rebel,lok,gcw_region_lok_3,Factional base control,10,1.0,191014229050,1.0,1.0
2026-04-12T21:01:09+00:00,Rebel,lok,gcw_region_lok_11,Factional base control,16,1.6,193523149735,1.0,1.0
2026-04-12T21:02:11+00:00,Rebel,rori,gcw_region_rori_5,Factional base control,13,1.3,191073153487,1.0,1.0
2026-04-12T21:03:10+00:00,Rebel,rori,gcw_region_rori_6,Factional base control,13,1.25,191072889645,1.0,1.0
2026-04-12T21:03:13+00:00,Rebel,lok,gcw_region_lok_5,Factional base control,10,1.0,191055747742,1.0,1.0
2026-04-12T21:03:43+00:00,Imperial,tatooine,gcw_region_tatooine_5,Factional base control,13,1.3,193651693313,1.0,1.0
